Nama;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium;Fosfor;Besi;Natrium;Kalium;Tembaga;Seng;Vit. A;Vit B1;Vit B2;Vit C
nasi goreng;0 g;168 kal;6.3 g;6.23 g;21.06 g;0.7 g;0 g;0 mg;0 mg;0 mg;0 mg;102 mg;0 mg;0 mg;0 mcg;0 mg;0 mg;0 mg
nasi jagung;11 g;357 kal;8.8 g;0.5 g;79.5 g;6.2 g;0.3 g;5 mg;43 mg;0.6 mg;2 mg;30.4 mg;0.1 mg;0.3 mg;0 mcg;0.3 mg;0.02 mg;0 mg
nasi putih;56.7 g;180 kal;3 g;0.3 g;39.8 g;0.2 g;0.2 g;25 mg;27 mg;0.4 mg;1 mg;38 mg;0.1 mg;0.6 mg;0 mcg;0.05 mg;0.1 mg;0 mg
onde onde;27.7 g;336 kal;4 g ;9.8 g;57.9 g;0 g;0.6 g;0 mg;0 mg;0 mg;0 mg;0 mg;0 mg;0 mg;0 mcg;0 mg;0 mg;0 mg
pempek telur;62.4 g;156 kal;4.7 g;2.7 g;28.3 g;0 g;1.9 g;13 mg;83 mg;1.3 mg;448 mg;48 mg;0.1 mg;0.6 mg;0 mcg;0.2 mg;0.05 mg;0 mg
pisang;61.8 g;134 kal;1.1 g;0.5 g;35.5 g;1.4 g;1.1 g;31 mg;53 mg;0.9 mg;39 mg;650.3 mg;0.34 mg;0.7 mg;0.mcg;0.11 mg;0.16 mg;3 mg
rawon;86 g;60 kal;5.4 g;2.5 g;4 g;0 g;2.1 g;272 mg;153 mg;3.3 mg;0 mg;0 mg;0 mg;0 mg;10 mcg;0.09 mg;0 mg;0 mg
rendang sapi;57.9 g;193 kal;22.6 g;7.9 g;7.8 g;0 g;3.8 g;474 mg;211 mg;14.9 mg;0 mg;0 mg;0 mg;0 mg;21 mcg;0.12 mg;0 mg;0 mg
rujak cingur;70.1 g;153 kal;11.3 g;8.4 g;8 g;1.4 g;1.4 g;256 mg;143 mg;4.4 mg;0 mg;0 mg;0 mg;0 mg;18 mcg;0.16 mg;0 mg;2 mg
sayur asem;93.2 g;29 kal;0.7 g;0.6 g;5 g;0.6 g;0.8 g;40 mg;61 mg;3.1 mg;0 mg;0 mg;0 mg;0 mg;14 mcg;0.1 mg;0 mg;0 mg
sayur sop;92.7 g;27 kal;1.3 g;2 g;1 g;0.3 g;2.7 g;168 mg;57 mg;1.8 mg;0 mg;0 mg;0 mg;0 mg;20 mcg;0.1 mg;0 mg;0 mg
semur jengkol;52.7 g;212 kal;6 g;10 g;29.1 g;0 mg;2.2 g;77 mg;99 mg;1 mg;0 mg;0 mg;0 mg;0 mg;0 mcg;0.14 mg;0 mg;4 mg
singkong rebus;0 g;146 kal;1.24 g;0.26 g;34.76 g;1.6 g;0 g;0 mg;0 mg;0 mg;0 mg;247 mg;0 mg;0 mg;0 mcg;0 mg;0 mg;0 mg
sop buntut;86.1 g;71 kal;7.5 g;3.6 g;2.2 g;0 g;0.6 g;286 mg;38 mg;3.2 mg;490 mg;0 mg;0 mg;0 mg;119 mcg;0.14 mg;0 mg;0 mg
soto;83.7 g;110 kal;2.9 g;9.5 g;3.2 g;0 g;0.7 g;28 mg;28 mg;0.3 mg;36 mg;6 mg;0 mg;0.2 mg;12 mcg;0.05 mg;0 mg;0 mg
spaghetti;66.1 g;139 kal;7.4 g;2.1 g;22.6 g;0 g;2.1 g;109 mg;53 mg;4.7 mg;0 mg;0 mg;0 mg;0 mg;42 mcg;0.35 mg;0 mg;0 mg
susu sapi;88.3 g;61 kal;3.2 g;3.5 g;4.3 g;0 g;0.7 g;143 mg;60 mg;1.7 mg;36 mg;149 mg;0.02 mg;0.3 mg;39 mcg;0.03 mg;0.18 mg;1 mg
tahu;77.3 g;115 kal;9.7 g;8.5 g;2.5 g;0.1 g;2 g;229 mg;200 mg;4.1 mg;7 mg;68.2 mg;0.09 mg;2.3 mg;0 mcg;0.01 mg;0.24 mg;0 mg
tahu telur;41.8 g;328 kal;12.6 g;19.9 g;24.6 g;0.4 g;1.1 g;492 mg;238 mg;4.9 mg;755 mg;0 mg;0 mg;0 mg;73 mcg;0.42 mg;0 mg;0 mg
telur dadar;61.9 g;251 kal;16.3 g;19.4 g;1.4 g;0 g;1 g;62 mg;250 mg;2.5 mg;0 mg;0 mg;0 mg;0 mg;36 mcg;0.21 mg;0 mg;0 mg
tempe goreng;42.9 g;336 kal;20 g;28 g;7.8 g;3.4 g;1.3 g;156 mg;350 mg;3 mg;20 mg;566.2 mg;0.80 mg;2.2 mg;10 mcg;0.1 mg;0.5 mg;0 mg
udang;75 g;91 kal;21 g;0.2 g;0.1 g;0 g;3.7 g;136 mg;170 mg;8 mg;178 mg;222.4 mg;0.3 mg;1.3 mg;18 mcg;0.01 mg;0.4 mg;0 mg
